"genus"	"species"	"latitude"	"longitude"	"source"
"Pristobrycon"	""	-0.95	-62.93	"gbif"
"Catoprion"	"Catoprion mento"	-1.68	-57.48	"gbif"
"Myloplus"	"Myloplus asterias"	-3.02	-49.74	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-4.28	-53.49	"gbif"
"Pristobrycon"	""	-0.95	-62.93	"gbif"
"Catoprion"	"Catoprion mento"	-1.69	-57.42	"gbif"
"Myloplus"	"Myloplus asterias"	-3.69	-59.95	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-5.36	-47.87	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-2.01	-58.33	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-5	-62.99	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-6.94	-60.53	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-2.01	-58.33	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	1.18	-66.84	"gbif"
"Catoprion"	"Catoprion mento"	-5.23	-60.31	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	1.18	-66.84	"gbif"
"Mylesinus"	"Mylesinus paraschomburgkii"	-1.09	-57.05	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-1.46	-56.78	"gbif"
"Mylesinus"	"Mylesinus paraschomburgkii"	-1.09	-57.05	"gbif"
"Catoprion"	"Catoprion mento"	-2.18	-58.17	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-2.57	-58.16	"gbif"
"Metynnis"	"Metynnis cuiaba"	-3.02	-49.74	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	2.8	-60.67	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-4.71	-61.34	"gbif"
"Metynnis"	"Metynnis cuiaba"	-18.43	-54.83	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-2.57	-58.16	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-5.05	-63.01	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-1.06	-61.85	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-5.05	-63.01	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.06	-61.85	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-3.17	-59.91	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-6.94	-60.53	"gbif"
"Colossoma"	"Colossoma macropomum"	-3.47	-60.3	"gbif"
"Myleus"	"Myleus setiger"	-0.89	-59.57	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-5.36	-47.87	"gbif"
"Metynnis"	"Metynnis cuiaba"	-3.02	-49.74	"gbif"
"Serrasalmus"	"Serrasalmus spilopleura"	1.1	-61.92	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	3.38	-59.86	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.06	-61.85	"gbif"
"Serrasalmus"	"Serrasalmus spilopleura"	-1.06	-61.85	"gbif"
"Mylesinus"	"Mylesinus paucisquamatus"	-5.89	-50.53	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	2.8	-60.67	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.06	-61.85	"gbif"
"Myloplus"	"Myloplus asterias"	-0.95	-62.93	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-0.95	-62.93	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.71	-61.34	"gbif"
"Myloplus"	"Myloplus lobatus"	-2	-56.88	"gbif"
"Myloplus"	"Myloplus schomburgkii"	1.39	-61.65	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-0.12	-67.1	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.06	-61.85	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-0.89	-59.57	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.71	-61.34	"gbif"
"Metynnis"	"Metynnis hypsauchen"	0.39	-61.67	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	3.95	-67.93	"gbif"
"Myloplus"	"Myloplus schomburgkii"	1.39	-61.65	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	3.95	-67.93	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.71	-61.34	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-4.55	-56.29	"gbif"
"Metynnis"	""	-0.61	-63.36	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-4.71	-61.34	"gbif"
"Serrasalmus"	"Serrasalmus gibbus"	-3.81	-49.67	"gbif"
"Myloplus"	"Myloplus lobatus"	-1.44	-56.75	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-4.55	-56.29	"gbif"
"Myloplus"	"Myloplus asterias"	1.18	-66.84	"gbif"
"Ossubtus"	"Ossubtus xinguense"	-3.46	-51.71	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-4.55	-56.29	"gbif"
"Mylesinus"	"Mylesinus paraschomburgkii"	-0.89	-59.57	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.72	-69.14	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-12.45	-64.22	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-3.84	-52.7	"gbif"
"Mylossoma"	"Mylossoma duriventre"	3.95	-67.93	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-1.06	-61.85	"gbif"
"Metynnis"	""	-3.17	-59.91	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-12.45	-64.22	"gbif"
"Myloplus"	"Myloplus rhomboidalis"	-3.84	-52.7	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-12.45	-64.22	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-4.55	-56.29	"gbif"
"Mylesinus"	"Mylesinus paraschomburgkii"	-0.89	-59.57	"gbif"
"Metynnis"	"Metynnis luna"	-8.33	-63.48	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-4.55	-56.29	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-4.71	-61.34	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-5	-62.99	"gbif"
"Mylossoma"	"Mylossoma duriventre"	3.95	-67.93	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-12.45	-64.22	"gbif"
"Metynnis"	""	-0.61	-63.36	"gbif"
"Serrasalmus"	"Serrasalmus altispinis"	1.73	-61.05	"gbif"
"Metynnis"	"Metynnis luna"	-8.33	-63.48	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-12.45	-64.22	"gbif"
"Myloplus"	"Myloplus lobatus"	-7.29	-60.64	"gbif"
"Metynnis"	"Metynnis cuiaba"	-8.33	-63.48	"gbif"
"Mylesinus"	"Mylesinus paraschomburgkii"	-0.89	-59.57	"gbif"
"Serrasalmus"	"Serrasalmus altispinis"	-4.72	-56.64	"gbif"
"Catoprion"	"Catoprion mento"	1.1	-61.92	"gbif"
"Myloplus"	"Myloplus lobatus"	-1.44	-56.75	"gbif"
"Myloplus"	"Myloplus asterias"	-5.63	-57.25	"gbif"
"Mylossoma"	"Mylossoma duriventre"	3.95	-67.93	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-2.69	-44.1	"gbif"
"Myloplus"	""	-3.81	-52.64	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-3.37	-52	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-3.69	-59.95	"gbif"
"Serrasalmus"	"Serrasalmus gibbus"	-3.02	-49.74	"gbif"
"Utiaritichthys"	"Utiaritichthys longidorsalis"	-10.17	-59.47	"gbif"
"Myloplus"	"Myloplus rubripinnis"	-2.18	-58.17	"gbif"
"Myloplus"	"Myloplus lobatus"	-2.18	-58.17	"gbif"
"Myloplus"	"Myloplus arnoldi"	-4.55	-56.29	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	1.73	-61.05	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-3.81	-52.64	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-2.69	-44.1	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-2.69	-44.1	"gbif"
"Myloplus"	"Myloplus asterias"	-1.69	-57.42	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-4.19	-60.89	"gbif"
"Myloplus"	"Myloplus asterias"	-10.16	-59.45	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-14.35	-43.79	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-7.26	-60.64	"gbif"
"Utiaritichthys"	"Utiaritichthys longidorsalis"	-10.17	-59.47	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-0.95	-62.93	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-2.18	-58.17	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-14.35	-43.79	"gbif"
"Tometes"	"Tometes camunani"	-0.77	-56.87	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-14.35	-43.79	"gbif"
"Utiaritichthys"	"Utiaritichthys longidorsalis"	-10.17	-59.47	"gbif"
"Myloplus"	"Myloplus asterias"	-3.73	-59.84	"gbif"
"Tometes"	"Tometes siderocarajensis"	-5.84	-50.44	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-14.35	-43.79	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-1.69	-57.42	"gbif"
"Myleus"	"Myleus setiger"	-6.15	-48.36	"gbif"
"Mylesinus"	"Mylesinus paucisquamatus"	-5.61	-48.13	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-4.22	-55.89	"gbif"
"Mylesinus"	"Mylesinus paucisquamatus"	-5.61	-48.13	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-4.22	-55.89	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-4.22	-55.89	"gbif"
"Metynnis"	"Metynnis guaporensis"	-3.81	-49.67	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.52	-59.82	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-1.44	-56.78	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.52	-59.82	"gbif"
"Metynnis"	"Metynnis mola"	-19.58	-56.25	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-5	-62.99	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	3.95	-67.93	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	3.95	-67.93	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	3.95	-67.93	"gbif"
"Myloplus"	"Myloplus asterias"	-0.97	-61.9	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-1.06	-61.85	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	3.95	-67.93	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.06	-61.85	"gbif"
"Colossoma"	"Colossoma macropomum"	-3.47	-60.3	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.56	-56.26	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	3.95	-67.93	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.06	-61.85	"gbif"
"Myloplus"	""	-10.16	-59.45	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-1.65	-69.21	"gbif"
"Pristobrycon"	""	-0.95	-62.93	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-3.43	-52.23	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.06	-61.85	"gbif"
"Myloplus"	"Myloplus asterias"	-0.97	-61.9	"gbif"
"Myloplus"	"Myloplus asterias"	-1.68	-57.48	"gbif"
"Metynnis"	"Metynnis luna"	-9.24	-64.39	"gbif"
"Mylossoma"	"Mylossoma aureum"	-1.72	-69.14	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.06	-61.85	"gbif"
"Serrasalmus"	"Serrasalmus spilopleura"	-0.97	-61.9	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.47	-56.83	"gbif"
"Myloplus"	""	-9.78	-59.4	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.83	-57.07	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.83	-57.07	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-24.7	-53.97	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	1.39	-61.65	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.44	-56.78	"gbif"
"Mylossoma"	"Mylossoma aureum"	-5	-62.99	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.47	-56.83	"gbif"
"Metynnis"	"Metynnis hypsauchen"	3.3	-59.93	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-4.55	-56.29	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.83	-57.07	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-5.82	-63.29	"gbif"
"Mylossoma"	"Mylossoma aureum"	3.95	-67.93	"gbif"
"Metynnis"	"Metynnis guaporensis"	-3.02	-49.74	"gbif"
"Serrasalmus"	"Serrasalmus spilopleura"	-0.97	-61.9	"gbif"
"Serrasalmus"	"Serrasalmus gibbus"	-5.61	-48.13	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-0.33	-64.13	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	2.8	-60.67	"gbif"
"Colossoma"	"Colossoma macropomum"	-3.47	-60.3	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-3.39	-58.01	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.44	-56.78	"gbif"
"Serrasalmus"	"Serrasalmus hastatus"	-0.97	-61.9	"gbif"
"Myloplus"	"Myloplus lobatus"	-1.72	-69.14	"gbif"
"Tometes"	""	-5.21	-56.93	"gbif"
"Piaractus"	"Piaractus brachypomus"	3.95	-67.93	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-1.74	-69.15	"gbif"
"Piaractus"	"Piaractus brachypomus"	3.95	-67.93	"gbif"
"Metynnis"	""	1.18	-66.84	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-1.68	-57.48	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-1.06	-61.85	"gbif"
"Myloplus"	""	-5.61	-48.13	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-4.22	-55.89	"gbif"
"Serrasalmus"	"Serrasalmus compressus"	-7.26	-60.64	"gbif"
"Serrasalmus"	"Serrasalmus compressus"	-7.26	-60.64	"gbif"
"Myloplus"	"Myloplus asterias"	-5.63	-57.25	"gbif"
"Metynnis"	""	3.95	-67.93	"gbif"
"Myloplus"	"Myloplus asterias"	-0.97	-61.9	"gbif"
"Myloplus"	"Myloplus asterias"	-0.97	-61.9	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-1.68	-57.48	"gbif"
"Myloplus"	"Myloplus zorroi"	-7.29	-60.64	"gbif"
"Myloplus"	"Myloplus zorroi"	-7.29	-60.64	"gbif"
"Myloplus"	"Myloplus zorroi"	-7.29	-60.64	"gbif"
"Myleus"	"Myleus setiger"	-3.43	-52.23	"gbif"
"Piaractus"	"Piaractus brachypomus"	3.95	-67.93	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-4.55	-56.29	"gbif"
"Metynnis"	"Metynnis cuiaba"	-3.81	-49.67	"gbif"
"Metynnis"	"Metynnis cuiaba"	-1.57	-47.16	"gbif"
"Myloplus"	"Myloplus asterias"	-1.69	-57.42	"gbif"
"Myloplus"	"Myloplus lobatus"	-1.83	-57.07	"gbif"
"Piaractus"	"Piaractus brachypomus"	-3.47	-60.3	"gbif"
"Catoprion"	"Catoprion mento"	1.43	-60.83	"gbif"
"Piaractus"	"Piaractus brachypomus"	-3.47	-60.3	"gbif"
"Metynnis"	"Metynnis cuiaba"	-3.81	-49.67	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-2	-56.88	"gbif"
"Myloplus"	"Myloplus lobatus"	-1.44	-56.78	"gbif"
"Serrasalmus"	"Serrasalmus elongatus"	-0.97	-61.9	"gbif"
"Metynnis"	"Metynnis guaporensis"	2.8	-60.67	"gbif"
"Myloplus"	"Myloplus asterias"	-9.78	-59.4	"gbif"
"Myloplus"	"Myloplus asterias"	-9.78	-59.4	"gbif"
"Myloplus"	"Myloplus arnoldi"	-4.55	-56.29	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-3.52	-51.71	"gbif"
"Metynnis"	"Metynnis hypsauchen"	-1.69	-57.42	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-3.81	-52.64	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.39	-58.01	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-2.18	-58.17	"gbif"
"Serrasalmus"	"Serrasalmus spilopleura"	-1.68	-57.48	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.55	-56.29	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-4.22	-55.89	"gbif"
"Piaractus"	"Piaractus mesopotamicus"	-14.35	-43.79	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-0.95	-62.93	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.05	-58.35	"gbif"
"Tometes"	""	-4.55	-56.29	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-18.24	-45.24	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	3.31	-59.89	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-18.24	-45.24	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.44	-56.78	"gbif"
"Myloplus"	"Myloplus rhomboidalis"	-3.84	-52.7	"gbif"
"Serrasalmus"	"Serrasalmus altispinis"	-0.97	-61.9	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.05	-58.35	"gbif"
"Pygopristis"	"Pygopristis denticulata"	-0.95	-62.93	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-3.43	-52.23	"gbif"
"Myloplus"	"Myloplus rhomboidalis"	-3.84	-52.7	"gbif"
"Myloplus"	"Myloplus arnoldi"	-5.61	-48.13	"gbif"
"Myloplus"	"Myloplus arnoldi"	-5.61	-48.13	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-18.24	-45.24	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-1.69	-57.42	"gbif"
"Serrasalmus"	"Serrasalmus serrulatus"	-1.69	-57.42	"gbif"
"Myloplus"	"Myloplus arnoldi"	-3.84	-52.7	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-3.69	-59.95	"gbif"
"Myleus"	"Myleus micans"	-14.34	-43.83	"gbif"
"Myloplus"	""	-10.16	-59.45	"gbif"
"Myloplus"	"Myloplus rhomboidalis"	2.8	-60.67	"gbif"
"Catoprion"	"Catoprion mento"	-1.47	-56.83	"gbif"
"Catoprion"	"Catoprion mento"	-1.47	-56.83	"gbif"
"Myloplus"	"Myloplus asterias"	-3.81	-49.67	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	1.43	-60.83	"gbif"
"Myloplus"	""	-9.8	-59.34	"gbif"
"Myleus"	"Myleus micans"	-14.34	-43.83	"gbif"
"Serrasalmus"	"Serrasalmus gouldingi"	-1.68	-57.48	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	1.74	-69.15	"gbif"
"Colossoma"	"Colossoma macropomum"	3.95	-67.93	"gbif"
"Metynnis"	"Metynnis luna"	-9.24	-64.39	"gbif"
"Tometes"	""	-4.55	-56.29	"gbif"
"Colossoma"	"Colossoma macropomum"	3.95	-67.93	"gbif"
"Colossoma"	"Colossoma macropomum"	3.95	-67.93	"gbif"
"Catoprion"	"Catoprion mento"	-0.34	-65.99	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.69	-57.42	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.69	-57.42	"gbif"
"Mylossoma"	"Mylossoma aureum"	-1.06	-61.85	"gbif"
"Myleus"	"Myleus setiger"	-5.76	-57.35	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-6.15	-48.36	"gbif"
"Myloplus"	"Myloplus zorroi"	-10.16	-59.45	"gbif"
"Myloplus"	"Myloplus zorroi"	-10.16	-59.45	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-4.22	-55.89	"gbif"
"Myloplus"	"Myloplus schomburgkii"	-0.95	-62.93	"gbif"
"Metynnis"	"Metynnis lippincottianus"	-24.7	-53.97	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-4.22	-55.89	"gbif"
"Myloplus"	"Myloplus asterias"	-2	-56.88	"gbif"
"Catoprion"	"Catoprion mento"	-0.34	-65.99	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	-4.55	-56.29	"gbif"
"Mylossoma"	"Mylossoma aureum"	-1.06	-61.85	"gbif"
"Metynnis"	"Metynnis fasciatus"	-5.38	-48.63	"gbif"
"Myloplus"	"Myloplus schomburgkii"	0.93	-66.79	"gbif"
"Myleus"	"Myleus setiger"	2.8	-60.67	"gbif"
"Serrasalmus"	"Serrasalmus gibbus"	-6.15	-48.36	"gbif"
"Myloplus"	"Myloplus lobatus"	-7.29	-60.64	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-4.22	-55.89	"gbif"
"Myloplus"	"Myloplus schomburgkii"	1.1	-61.92	"gbif"
"Myloplus"	"Myloplus rubripinnis"	-4.22	-55.89	"gbif"
"Myloplus"	""	-4.55	-56.29	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-1.06	-61.85	"gbif"
"Myloplus"	""	-4.55	-56.29	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.72	-69.14	"gbif"
"Mylossoma"	"Mylossoma aureum"	-1.06	-61.85	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-4.22	-55.89	"gbif"
"Myloplus"	"Myloplus lobatus"	-7.29	-60.64	"gbif"
"Tometes"	"Tometes ancylorhynchus"	-6.15	-48.36	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-2.39	-54.74	"gbif"
"Myloplus"	"Myloplus rubripinnis"	-4.22	-55.89	"gbif"
